2020-11-11 15:41:08,294 [Client thread] ERROR GottschCore | LootTableMaster.java:207 | is file system loot table current -> true
2020-11-11 15:41:08,297 [Client thread] ERROR GottschCore | LootTableMaster.java:207 | is file system loot table current -> true
2020-11-11 15:41:08,298 [Client thread] ERROR GottschCore | LootTableMaster.java:207 | is file system loot table current -> true
2020-11-11 15:41:08,299 [Client thread] ERROR GottschCore | LootTableMaster.java:207 | is file system loot table current -> true
2020-11-11 15:41:08,299 [Client thread] ERROR GottschCore | LootTableMaster.java:207 | is file system loot table current -> true
2020-11-11 15:41:08,300 [Client thread] ERROR GottschCore | LootTableMaster.java:207 | is file system loot table current -> true
2020-11-11 15:41:08,303 [Client thread] ERROR GottschCore | LootTableMaster.java:207 | is file system loot table current -> true
2020-11-11 15:41:08,304 [Client thread] ERROR GottschCore | LootTableMaster.java:207 | is file system loot table current -> true
2020-11-11 15:41:08,305 [Client thread] ERROR GottschCore | LootTableMaster.java:207 | is file system loot table current -> true
2020-11-11 15:41:08,305 [Client thread] ERROR GottschCore | LootTableMaster.java:207 | is file system loot table current -> true
2020-11-11 15:41:08,306 [Client thread] ERROR GottschCore | LootTableMaster.java:207 | is file system loot table current -> true
2020-11-11 15:41:10,600 [Client thread] INFO GottschCore | VersionChecker.java:110 | [gottschcore] Starting version check at https://raw.githubusercontent.com/gottsch/gottsch-minecraft-GottschCore/master/GottschCore1.12.2/update.json
2020-11-11 15:41:10,708 [Client thread] INFO GottschCore | VersionChecker.java:110 | [dungeons2] Starting version check at https://raw.githubusercontent.com/gottsch/gottsch-minecraft-Dungeons2/master/Dungeons2-1.12.2/update.json
2020-11-11 15:53:06,211 [Client thread] ERROR GottschCore | LootTableMaster.java:207 | is file system loot table current -> true
2020-11-11 15:53:06,215 [Client thread] ERROR GottschCore | LootTableMaster.java:207 | is file system loot table current -> true
2020-11-11 15:53:06,218 [Client thread] ERROR GottschCore | LootTableMaster.java:207 | is file system loot table current -> true
2020-11-11 15:53:06,222 [Client thread] ERROR GottschCore | LootTableMaster.java:207 | is file system loot table current -> true
2020-11-11 15:53:06,225 [Client thread] ERROR GottschCore | LootTableMaster.java:207 | is file system loot table current -> true
2020-11-11 15:53:06,251 [Client thread] ERROR GottschCore | LootTableMaster.java:207 | is file system loot table current -> true
2020-11-11 15:53:06,251 [Client thread] ERROR GottschCore | LootTableMaster.java:207 | is file system loot table current -> true
2020-11-11 15:53:06,252 [Client thread] ERROR GottschCore | LootTableMaster.java:207 | is file system loot table current -> true
2020-11-11 15:53:06,253 [Client thread] ERROR GottschCore | LootTableMaster.java:207 | is file system loot table current -> true
2020-11-11 15:53:06,254 [Client thread] ERROR GottschCore | LootTableMaster.java:207 | is file system loot table current -> true
2020-11-11 15:53:06,257 [Client thread] ERROR GottschCore | LootTableMaster.java:207 | is file system loot table current -> true
2020-11-11 15:53:06,258 [Client thread] ERROR GottschCore | LootTableMaster.java:207 | is file system loot table current -> true
2020-11-11 15:53:06,258 [Client thread] ERROR GottschCore | LootTableMaster.java:207 | is file system loot table current -> true
